#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-08T23:04:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6110576e3c04da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/24&tab:{IV/24/table2}&key:source=IV/24/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/24/table2
#-order=I
#-out=PK
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_4024
#Name: IV/24
#Title: Catalogue of Galactic Planetary Nebulae (Kohoutek, 2001)
#Table	IV_24_table2:
#Name: IV/24/table2
#Title: List of Planetary Nebulae (according to right ascension)
#Column	PK	(A9)	[0-9. +-] PK designation, as in CGPN	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
PK;RAJ2000;DEJ2000
 ;"h:m:s";"d:m:s"
---------;-------;------
119+06.1 ;00 12.9;+69 11
120+09.1 ;00 13.0;+72 32
118-08.1 ;00 18.7;+53 53
119+00.1 ;00 19.9;+62 59
119-06.1 ;00 28.3;+55 58
120-05.1 ;00 31.8;+57 23
108-76.1 ;00 37.2;-13 43
121+03.1 ;00 38.9;+66 23
121+00.1 ;00 40.3;+62 51
122-04.1 ;00 45.6;+57 57
118-74.1 ;00 47.0;-11 53
125-47.1 ;00 59.9;+15 44
124-07.1 ;01 00.9;+55 04
124+02.1 ;01 02.4;+65 46
124+10.1 ;01 07.1;+73 33
126+03.1 ;01 24.9;+65 39
128-04.1 ;01 30.5;+58 24
130-11.1 ;01 37.3;+50 28
129-05.1 ;01 40.1;+56 35
130-10.1 ;01 42.4;+51 34
129-02.1 ;01 42.6;+60 10
131-05.1 ;01 53.0;+56 25
130+01.1 ;01 57.6;+63 20
129+04.1 ;01 58.6;+66 34
148-48.1 ;01 58.0;+10 57
133-08.1 ;01 58.8;+52 54
130+03.1 ;02 03.7;+64 57
131+02.1 ;02 12.1;+64 09
132+04.1 ;02 26.5;+65 47
144-15.1 ;02 45.4;+42 34
141-07.1 ;02 52.3;+50 36
136+04.1 ;02 58.7;+64 30
255-59.1 ;02 57.0;-44 10
136+05.1 ;03 03.8;+64 54
138+02.1 ;03 10.3;+61 19
138+04.1 ;03 11.0;+62 48
147-09.1 ;03 16.6;+46 54
149-09.1 ;03 27.2;+45 24
220-53.1 ;03 33.2;-25 52
142+03.1 ;03 36.1;+60 04
147-02.1 ;03 41.7;+52 17
156-13.1 ;03 45.5;+37 48
159-15.1 ;03 47.5;+35 03
149-03.1 ;03 49.1;+50 00
171-25.1 ;03 53.6;+19 30
161-14.1 ;03 56.4;+33 53
144+06.1 ;04 07.0;+60 55
165-15.1 ;04 09.2;+30 47
147+04.1 ;04 13.3;+56 57
151+00.1 ;04 13.4;+51 51
206-40.1 ;04 14.2;-12 44
153-01.1 ;04 15.9;+48 49
149+04.1 ;04 20.8;+56 18
137+16.1 ;04 25.2;+72 49
146+07.1 ;04 25.8;+60 07
167-09.1 ;04 36.7;+33 39
160-02.1 ;04 37.3;+42 47
174-14.1 ;04 37.3;+25 03
165-06.1 ;04 39.8;+36 46
166-06.1 ;04 42.9;+36 07
158+00.1 ;04 43.4;+46 42
160-00.1 ;04 46.7;+44 28
163-00.1 ;04 54.5;+42 17
215-30.1 ;05 03.2;-15 37
205-26.1 ;05 03.7;-06 10
243-37.1 ;05 03.1;-39 46
