#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-08T22:58:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61105f001ec44	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/284&tab:{VII/284/snrs}&key:source=VII/284&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/284/snrs
#-order=I
#-out=SNR
#-out=RAJ2000
#-out=DEJ2000
#Simbad=Simbad
#

#RESOURCE=yCat_7284
#Name: VII/284
#Title: A Catalogue of Galactic Supernova Remnants (Green, 2019)
#Table	VII_284_snrs:
#Name: VII/284/snrs
#Title: Supernova Remnant catalogue
#Column	SNR	(A11)	*Supernova Remnant designation	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000 hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000 degrees	[ucd=pos.eq.dec;meta.main]
SNR;RAJ2000;DEJ2000
 ;"h:m:s";"d:m:s"
-----------;--------;------
G000.0+00.0;17 45 44;-29 00
G000.3+00.0;17 46 15;-28 38
G000.9+00.1;17 47 21;-28 09
G001.0-00.1;17 48 30;-28 09
G001.4-00.1;17 49 39;-27 46
G001.9+00.3;17 48 45;-27 10
G003.7-00.2;17 55 26;-25 50
G003.8+00.3;17 52 55;-25 28
G004.2-03.5;18 08 55;-27 03
G004.5+06.8;17 30 42;-21 29
G004.8+06.2;17 33 25;-21 34
G005.2-02.6;18 07 30;-25 45
G005.4-01.2;18 02 10;-24 54
G005.5+00.3;17 57 04;-24 00
G005.9+03.1;17 47 20;-22 16
G006.1+00.5;17 57 29;-23 25
G006.1+01.2;17 54 55;-23 05
G006.4-00.1;18 00 30;-23 26
G006.4+04.0;17 45 10;-21 22
G006.5-00.4;18 02 11;-23 34
G007.0-00.1;18 01 50;-22 54
G007.2+00.2;18 01 07;-22 38
G007.7-03.7;18 17 25;-24 04
G008.3-00.0;18 04 34;-21 49
G008.7-05.0;18 24 10;-23 48
G008.7-00.1;18 05 30;-21 26
G008.9+00.4;18 03 58;-21 03
G009.7-00.0;18 07 22;-20 35
G009.8+00.6;18 05 08;-20 14
G009.9-00.8;18 10 41;-20 43
G010.5-00.0;18 09 08;-19 47
G011.0-00.0;18 10 04;-19 25
G011.1-01.0;18 14 03;-19 46
G011.1-00.7;18 12 46;-19 38
G011.1+00.1;18 09 47;-19 12
G011.2-00.3;18 11 27;-19 25
G011.4-00.1;18 10 47;-19 05
G011.8-00.2;18 12 25;-18 44
G012.0-00.1;18 12 11;-18 37
G012.2+00.3;18 11 17;-18 10
G012.5+00.2;18 12 14;-17 55
G012.7-00.0;18 13 19;-17 54
G012.8-00.0;18 13 37;-17 49
G013.3-01.3;18 19 20;-18 00
G013.5+00.2;18 14 14;-17 12
G014.1-00.1;18 16 40;-16 41
G014.3+00.1;18 15 58;-16 27
G015.1-01.6;18 24 00;-16 34
G015.4+00.1;18 18 02;-15 27
G015.9+00.2;18 18 52;-15 02
G016.0-00.5;18 21 56;-15 14
G016.2-02.7;18 29 40;-16 08
G016.4-00.5;18 22 38;-14 55
G016.7+00.1;18 20 56;-14 20
G017.0-00.0;18 21 57;-14 08
G017.4-02.3;18 30 55;-14 52
G017.4-00.1;18 23 08;-13 46
G017.8-02.6;18 32 50;-14 39
G018.1-00.1;18 24 34;-13 11
G018.6-00.2;18 25 55;-12 50
G018.8+00.3;18 23 58;-12 23
G018.9-01.1;18 29 50;-12 58
G019.1+00.2;18 24 56;-12 07
